tipo,cant_threads,input_dim,hidden_neurons,output_dim,epochs,dataset_elements,total_mult_en_ciclos,nops_stalls,ciclos_simulados,context_switches,tiempo_ejecucion_s
fgmt,3,3,30,1,500,500,66012000,1400200,205624800,66012000,278.220521
cgmt,3,3,30,1,500,500,66012000,1400200,73213600,600000,34.611631
normal,0,3,30,1,500,500,66012000,1400200,76213600,0,0.248121
fgmt,3,3,30,1,500,500,66012000,1600100,205424400,66012000,278.041951
cgmt,3,3,30,1,500,500,66012000,1600100,71812800,1400000,37.290201
normal,0,3,30,1,500,500,66012000,1600100,78812800,0,0.236201
fgmt,3,3,30,1,500,500,66012000,1000200,205824800,66012000,278.486961
cgmt,3,3,30,1,500,500,66012000,1000200,69412800,1000200,37.040340
normal,0,3,30,1,500,500,66012000,1000200,74013600,0,0.254855
fgmt,3,3,30,1,500,500,66012000,1200400,206445428,66012000,278.672152
cgmt,3,3,30,1,500,500,66012000,1200400,72413600,600300,32.537213
normal,0,3,30,1,500,500,66012000,1200400,75615200,0,0.237247
fgmt,3,3,30,1,500,500,66012000,800000,204224000,66012000,278.226837
cgmt,3,3,30,1,500,500,66012000,800000,68412000,800000,37.100208
normal,0,3,30,1,500,500,66012000,800000,72412000,0,0.253227
fgmt,3,3,30,1,500,500,66012000,200000,204024000,66012000,282.567210
cgmt,3,3,30,1,500,500,66012000,200000,66612000,200000,32.613907
normal,0,3,30,1,500,500,66012000,200000,67612000,0,0.250515
fgmt,3,3,30,1,500,500,66012000,1000200,206024800,66012000,281.643232
cgmt,3,3,30,1,500,500,66012000,1000200,69212200,800200,35.599064
normal,0,3,30,1,500,500,66012000,1000200,74013600,0,0.274565
fgmt,3,3,30,1,500,500,66012000,1000200,205624800,66012000,278.513593
cgmt,3,3,30,1,500,500,66012000,1000200,70612900,600100,35.859327
normal,0,3,30,1,500,500,66012000,1000200,74013600,0,0.269873
fgmt,3,3,30,1,500,500,66012000,1200200,205044756,66012000,279.703194
cgmt,3,3,30,1,500,500,66012000,1200200,68812200,1200200,38.489868
normal,0,3,30,1,500,500,66012000,1200200,75613600,0,0.266560
fgmt,3,3,30,1,500,500,66012000,2000500,208026000,66012000,276.540433
cgmt,3,3,30,1,500,500,66012000,2000500,75413700,1200400,38.038582
normal,0,3,30,1,500,500,66012000,2000500,82016000,0,0.264768
fgmt,3,3,30,1,500,500,66012000,2000500,208026000,66012000,278.152027
cgmt,3,3,30,1,500,500,66012000,2000500,72812900,1600500,40.358453
normal,0,3,30,1,500,500,66012000,2000500,82016000,0,0.269540
fgmt,3,3,30,1,500,500,66012000,1200200,206024800,66012000,277.899883
cgmt,3,3,30,1,500,500,66012000,1200200,70612200,1000200,36.725049
